EFECTOR;ANIO;ESPECIALIDAD;SERVICIO;TOTAL
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Cardiología;Pediatria;267
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Neurología;Pediatria;582
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Oftalmología;Pediatria;2275
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Hijo De Madre Adolescente;Pediatria;1795
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Atención Clínica De La Adolescente;Pediatria;1753
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Subtotal Pediatria;Pediatria;30662
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Obstetricia Matutino;Tocoginecologia;29068
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Obstetricia Intermedio;Tocoginecologia;11165
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Obstetricia ;Tocoginecologia;7747
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Control Embarazo Adolescente;Tocoginecologia;2087
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Puerperio Adolescente;Tocoginecologia;394
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Subtotal Tocoginecologia;Tocoginecologia;50461
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Guardia Del Dia ;Urgencia;5400
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Guardia Del Día ;Urgencia;27977
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Subtotal Urgencia;Urgencia;33377
HOSPITAL MATERNO INFANTIL R. SARDA;2011;Total Hospital;Urgencia;149370
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Infecciosas;Medicina;33009
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Neumotisiología;Medicina;15630
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Lepra;Medicina;951
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Dermatología;Medicina;13611
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Cardiología;Medicina;3372
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Neurología;Medicina;2017
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Nutrición;Medicina;345
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Tuberculosis Multirresistente;Medicina;536
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Hematología;Medicina;606
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Asma Y Alergia;Medicina;799
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Hepatitis;Medicina;7135
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Zoopatología Médica;Medicina;3606
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Brucelosis;Medicina;434
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Cesación Tabáquica;Medicina;84
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Enfermedad De Transmisión Sexual;Medicina;3375
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;S.i.d.a.;Medicina;14216
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Micología;Medicina;875
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Subtotal Medicina;Medicina;100601
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Cirugía General;Cirugia;2629
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Ginecología;Cirugia;1330
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Urología;Cirugia;1270
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Ortopedia Y Traumatología;Cirugia;179
HOSPITAL DE INFECCIOSAS F. MUÑIZ;2011;Oftalmología;Cirugia;1560
