SERVICIO;ESPECIALIDADES;ING;PASES_A;ING_PASES;ALTAS;DEF;TOTAL;PASES_B;EGR_PASES;DIAS_CAMAS_DISP;PAC_DIA;PROMEDIO_CAMAS_DISP;PROMEDIO_PAC_DIA;PORCENTAJE_OCUP;PROMEDIO_PERM;GIRO;TASA_MORT_HOSP;ANIO;SK_ID_EFECTOR;NOM_EFECTOR_BADATA;OBSERVACIONES
Cirugia;Urologia;304;21;325;319;0;319;4;323;4714;1820;1292;499;3861;563;2501;0;2011;2164;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;
Cirugia;Subtotal Cirugia;4661;634;5295;4616;27;4643;646;5289;48525;26327;13295;7213;5425;498;3978;51;2011;2164;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;
Urgencia;Terapia Intensiva;101;236;337;3;62;65;273;338;6089;5102;1668;1398;8379;1509;2026;1834;2011;2164;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;
Urgencia;Subtotal Urgencia;101;236;337;3;62;65;273;338;6089;5102;1668;1398;8379;1509;2026;1834;2011;2164;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;
Urgencia;Total Hospital;9749;1592;11341;9633;124;9757;1592;11349;116113;79283;31812;21721;6828;813;3067;127;2011;2164;HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ;
Pediatria;Recien Nacido Sano;5238;602;5840;5397;0;5397;446;5843;25141;16515;6888;4525;6569;283;8483;0;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Pediatria;Neonatología;1298;1010;2308;1084;69;1153;1168;2321;29558;14639;8098;4011;4953;631;2866;297;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Pediatria;Subtotal Pediatria;6536;1612;8148;6481;69;6550;1614;8164;54699;31154;14986;8535;5696;382;5448;85;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Tocoginecologia;Tocoginecología;8015;214;8229;8064;0;8064;152;8216;37916;31831;10388;8721;8395;387;7909;0;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Tocoginecologia;Subtotal Tocoginecologia;8015;214;8229;8064;0;8064;152;8216;37916;31831;10388;8721;8395;387;7909;0;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Urgencia;Terapia Intermedia;57;33;90;57;0;57;32;89;1095;314;3;86;2868;353;2967;0;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Urgencia;Terapia Intensiva;68;17;85;4;4;8;78;86;1460;349;4;96;239;406;215;465;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Urgencia;Subtotal Urgencia;125;50;175;61;4;65;110;175;2555;663;7;182;2595;379;25;229;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Urgencia;Total Hospital;14676;1876;16552;14606;73;14679;1876;16555;95170;63648;26074;17438;6688;434;563;5;2011;2167;HOSPITAL MATERNO INFANTIL R. SARDA;
Medicina;Dermatología;358;23;381;333;2;335;42;377;10966;6477;3004;1775;5906;1718;1255;53;2011;2110;HOSPITAL DE INFECCIOSAS F. MUÑIZ;
