cod_refes;efector;anio;agrupacion;servicio;total
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;alergia;48
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;cardiologia;4178
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;cirugia;22
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;clinica_medica;8227
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;dermatologia;1163
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;diabetologia;568
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;ecografia;1232
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;electrocardiografia;1703
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;enfermeria;32593
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;fonoaudiologia;870
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;guardia;37603
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;hematologia;48
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;hemoterapia;368
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;infectologia;233
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;kinesiologia;1608
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;nefrologia;91
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;neumonologia;269
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;nutricion;1158
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;obstetricia;3666
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;odontologia;3496
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;oftalmologia;364
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;otorrinolaringologia;1531
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;pediatria;15941
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;psicologia;1976
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;psicologia_pediatrica;693
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;psiquiatria;1310
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;salud_mental;6
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;tocoginecologia;6367
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;trabajo_social;830
50020082218914;HOSPITAL CECILIA GRIERSON;2019;;traumatologia;7124
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;cardiologia;4578
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;cirugia;5
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;clinica_medica;3025
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;dermatologia;766
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;diabetologia;517
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;ecografia;1034
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;electrocardiografia;777
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;enfermeria;10640
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;fonoaudiologia;791
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;guardia;330
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;hematologia;49
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;hemoterapia;455
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;kinesiologia;1893
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;neurologia;86
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;nutricion;1020
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;obstetricia;3441
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;odontologia;3444
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;odontopediatria;293
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;oftalmologia;944
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;otorrinolaringologia;369
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;pediatria;7409
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;psicologia;2311
50020082218914;HOSPITAL CECILIA GRIERSON;2018;;psicologia_pediatrica;1039
